一出	一齣
不断发现	不斷發現
不断发生	不斷發生
不断发酵	不斷發酵
丹棱	丹稜
伊里格瑞	伊里格瑞
余慈高速	餘慈高速
兰溪	蘭谿
冲床工	沖牀工
加达里	加達里
南斗	南斗
南斗六星	南斗六星
南斗星君	南斗星君
同床各梦	同牀各夢
吞武里	吞武里
咸安	咸安
哈里森史密特	哈里森史密特
图昆线	圖崑線
培里克利斯	培里克利斯
基里巴斯共和国	基里巴斯共和國
塞韦里诺	塞韋里諾
大余	大余
大余县	大余縣
太古里	太古里
实时	即時
尤克里里琴	尤克里里琴
尼乾子	尼乾子
尼乾陀	尼乾陀
左里	左里
帆布床	帆布牀
希拉里克林顿	希拉里克林頓
干支流	幹支流
干渠	幹渠
平日里	平日裏
床头金尽	牀頭金盡
弗洛里斯岛	弗洛里斯島
弗罗里达	弗羅里達
弗罗里达州	弗羅里達州
弗里得里希	弗里得里希
弗雷德里克	弗雷德里克
弗雷德里克顿	弗雷德里克頓
形如斗	形如斗
慈余高速	慈餘高速
慈溪	慈谿
扶余	扶餘
扶余县	扶餘縣
扶余市	扶餘市
折叠床	摺疊牀
据床指麾	據牀指麾
掉海里	掉海裏
提纳里	提納里
斗宿	斗宿
斗星官	斗星官
斗木獬	斗木獬
新余	新余
新余市	新余市
日里	日里
日里雪冷	日里雪冷
木板床	木板牀
杠一	杠一
杠七	杠七
杠三	杠三
杠九	杠九
杠二	杠二
杠五	杠五
杠八	杠八
杠六	杠六
杠四	杠四
杠增一	杠增一
松发	鬆發
林俊杰	林俊傑
标里镇	標里鎮
气冲斗牛	氣沖斗牛
气冲牛斗	氣沖牛斗
气冲霄汉	氣沖霄漢
沙发床	沙發牀
沾临高速	霑臨高速
沾会高速	霑會高速
沾化	霑化
沾益	霑益
沾青线	霑青線
浚县	濬縣
湖里区	湖裏區
澄江	澂江
瓦西里耶维奇	瓦西里耶維奇
生发	生髮
生发中心	生發中心
神里	神里
穆棱	穆稜
竹溪	竹谿
符拉迪沃斯托克	符拉迪沃斯托克
米德尔伯里	米德爾伯里
索福克里斯	索福克里斯
索面	索面
织里	織里
绥棱	綏稜
编余	編餘
